Images,Videos,LinkURLs,LinkTexts,Texts
../Resource/WeeklyNotes/Week2/CCI20260313.jpg,,,,"Crazy 8's, 8 different interactive web designs"
../Resource/WeeklyNotes/Week2/1774607752349.jpg,,,,"Class activity: For a website's blueprint, list all the necessary HTML components."
../Resource/WeeklyNotes/Week2/1774607752344-3.jpg,,,,Paper prototype for my web design
../Resource/WeeklyNotes/Week2/Screenshot 2.png,,https://rdtr01.xl.digital/,rdtr01.xl.digital,"rdtr01.xl.digital connects users to web pages via cameras, showcasing user hand gestures through video. 
                Reflects indicates that web pages, through AI learning and model creation, can now handle complex calculations and simulations."
../Resource/WeeklyNotes/Week2/Screenshot 1.png,,https://mfabiennial2023.risd.gd,mfabiennial2023.risd.gd,"mfabiennial2023.risd.gd is a unique recreation of The Impermanent Collection from April 14-30, 
                2023. It transforms the art gallery into a two-dimensional map similar to a 2D console game from the last century, 
                marking ""activity areas"" so that users can recreate their real-world visit to the art exhibition online."
../Resource/WeeklyNotes/Week2/Screenshot 3.png,,https://text.jodi.org/,text.jodi.org,"text.jodi.org+ is a webpage composed of gibberish, presented in a manner similar to how the Integer Overflow event in a last-generation console game causes unexpected duplicate characters to appear.

Amidst the chaotic gibberish, each page retains a semblance of order, suggesting that while one component of the program may have malfunctioned, others continued to function."
