Images,Videos,LinkURLs,LinkTexts,Texts
../Resource/WeeklyNotes/Week9/Screenshot 2026-05-07 15183822.png; ../Resource/WeeklyNotes/Week9/1778142211297.jpg,,,,Process of testing the final project
../Resource/WeeklyNotes/Week9/RootNote-01.webp; ../Resource/WeeklyNotes/Week9/RootNote-06.webp,,,,"Root Note is a sound-making art installation created by Rebecca Lieberman. By inserting sensors into the soil of plants to detect touch, light, humidity, etc. of the plant, and emitting sound based on the data, it allows people to ""hear"" the sounds and states of the plants, and also allows viewers to directly interact with them to create a melody."
../Resource/WeeklyNotes/Week9/placebo-button.jpg,,,,"Placebo Buttons are buttons that have no actual function but provide a placebo effect by giving users the illusion of successful control. Some of these buttons emit sound, while others emit light to provide some feedback, but they are not connected to the circuitry or system."
../Resource/WeeklyNotes/Week9/fig15-1.jpg,,,,"Inductive loop detectors are most commonly found underground at intersections on main roads that you wouldn't notice. These detectors detect slight changes in the magnetic field caused by the metal parts of cars, and unlike Placebo Buttons, some traffic lights only turn green when the inductive loop detector detects a vehicle."
