Images,Videos,LinkURLs,LinkTexts,Texts
../Resource/WeeklyNotes/Week4/1779197709628.jpg,,,,Demonstrating use of p5.js
../Resource/WeeklyNotes/Week4/1779197709646.jpg,,,,"Class activity: Let a classmate recreate a 2D object of my design, only using words to describe it."
../Resource/WeeklyNotes/Week4/capture.jpg,,,,"Reality Capture is a software that can turn a video recording around a specific object or scene into 3D objects, to efficiently turn real-life objects into models for rendering scenes."
../Resource/WeeklyNotes/Week4/webcam.jpg,,,,"Irium Webcam is a software that streams live video between different devices under the same internet connection, without needing to connect to the internet, can benefit from improved video quality and minimise transport delay, having agile camera angles and not being influenced by internet disruption."
../Resource/WeeklyNotes/Week4/Monument valley.jpg,,,,"Monument valley, an early phone game, each game level is completed by turning the camera angle to let the monument's path virtually connect, so the character can pass to the finishing point."
