Images,Videos,LinkURLs,LinkTexts,Texts
,../Resource/WeeklyNotes/Week8/VID_20260501_155515.mp4,,,Class activity: built an object touch sensor
../Resource/WeeklyNotes/Week8/1779195104632.jpg,,,,Class activity: process of building an object touch sensor
../Resource/WeeklyNotes/Week8/cave.jpg,,,,"Cave of Sounds is constructed by 8 different electric instrument that allow the user to interact and play with. The computer will automatically control the performance with autotune and create a melody using the 8 instruments. This artwork is created to embody the music of the cavemen, each instrument is both individual and collective, representing the process of transformation from individual to collectivism."
../Resource/WeeklyNotes/Week8/640.jpg,,,,"Six-Forty by Forty-Eighty (640x480) is an artwork constructed from 220 separated lighting blocks representing the pixels breaks the screen and escape out on a 2D platform. When each block, representing a leaked pixel, is touched, moved or just by the program's instruction, it will change colour, to create a program-generated 2D logical space with human interaction as unpredictable input that causes butterfly-effect changes to this space."
../Resource/WeeklyNotes/Week8/drone.jpg,,,,"Drones are becoming more and more useful and exposed in common business practice every day, carrying objects varies from cameras, deliveries, spraying pesticides and as a weapon."
