Images,Videos,LinkURLs,LinkTexts,Texts
../Resource/WeeklyNotes/Week6/1779195104683.jpg,,,,Class activity: Guess what the electronic parts of an Arduino set do
../Resource/WeeklyNotes/Week6/1779195104676.jpg,,,,Class activity: Build a simple lighting system
../Resource/WeeklyNotes/Week6/20260418_CNP501.webp,,,,"A robot half-marathon was recently hosted, robot from many teams —backed by hobby groups, universities and robot-producing companies raced together. This is both a competition and a massive public advertising for robotic brands to show the reliability of robots of their brand, and a government-backed event to bring people's attention to the advances of robot technology."
../Resource/WeeklyNotes/Week6/Dash_computers_banner_d.jpg,,,,"Wearable computers appear in many different forms, examples like sports watches or bicycle computers are used to monitor data of athletes and race progress information, to compete, train and rest more efficiently, have become a necessary tool for athlete performance."
../Resource/WeeklyNotes/Week6/best-bone-conduction-and-open-ear-headphones-20260211-medium.jpg,,,,"Bone transfer earphones are common among runners or swimmers, transferring sound through skin, bone, and tissue to the eardrum, performing like a physically attached speaker to the eardrum."
