Images,Videos,LinkURLs,LinkTexts,Texts
,../Resource/WeeklyNotes/Week7/mmexport1779197112318.mp4; ../Resource/WeeklyNotes/Week7/mmexport1779196877354.mp4,,,Class activity: built an obstruction detector
../Resource/WeeklyNotes/Week7/1779195104668.jpg; ../Resource/WeeklyNotes/Week7/1779195104662.jpg; ../Resource/WeeklyNotes/Week7/1779197131380.jpg; ../Resource/WeeklyNotes/Week7/1779195104650.jpg; ,,,,Class activity: process of building an obstruction detector
../Resource/WeeklyNotes/Week7/robot.jpg,,,,"Delivering robots. When guests are in hotels and delivery personnel are transporting the package or meal, the hotel might want to protect the guest's information and not let unauthorised personnel enter the exact hotel room of the guest. A delivering robot can take the bag or box and deliver it completely unmanned and controlled by the hotel."
../Resource/WeeklyNotes/Week7/chip.webp,,,,"Marathon Chip. If you had ever participated in a Marathon or a timed running event, you might had a number plate with a thin little box attached behind, which is a passive device that perform kind of like a credit card, except further and less secure, when a signal sents to it, it will reply a number (often your plate number or ID) so the organisation know when you pass the starting and finishing gate."
../Resource/WeeklyNotes/Week7/hq720.jpg,,,,"Montor Glasses. A pair of glasses that can also be used as an additional monitor locked on a specific location in relation to your eyes, it can also change the colour of the lens and adjust the opacity to perform like sunglasses, or watch anything that can be put on a monitor, but in any posture, anywhere."
