Images,Videos,LinkURLs,LinkTexts,Texts
../Resource/WeeklyNotes/Week5/Screenshot 2026-03-27 223037.png;../Resource/WeeklyNotes/Week5/Screenshot 2026-03-27 230427.png,,,,"Working on WWWORKBOOK A, using different potions to symbolise progress of each week and eventually tossing them into a big cauldron to create the Philosopher's Stone (final project)"
../Resource/WeeklyNotes/Week5/Sara-Blake--Coral-07.jpg; ../Resource/WeeklyNotes/Week5/joshua-davis-ft-image4-1080x780.webp,,https://joshuadavis.com,Joshua Davis Artbook,"Joshua Davis is a digital artist. He designed artworks across many areas, including pixel, futuristic, and decorative, etc. Some work he created has used 3D generative tools and or uses repetition of a single 2D spinning pattern to create a 3D effect."
../Resource/WeeklyNotes/Week5/Picture1.png,,https://oasis.decart.ai/welcome,https://oasis.decart.ai/welcome,"Oasis.ai is an AI-powered and generated game that allows you to ""play Minecraft through AI-generated frames, also trained with the interaction of each button, which allows further gameplay. Since it's an AI-generated game, it does not have memory, doesn't store or remember anything about your location, but can only predict the next frame through the current low-resolution frame picture."
../Resource/WeeklyNotes/Week5/1_QArq0BNK9DWwCKJig2XyDA.webp,,,,"3D NFT. NFT know for being generated repeatedly, and also have 3D versions. Using different combinations of resources from a response bank to generate 3D models."
